,date,winner,loser,wrank,lrank,b365w,b365l,surface,winner_is_p1,odd_p1,odd_p2
1827,2002-07-15,Ferrer D.,Krajan Z.,114,109,1.667,2.1,Clay,1,1.667,2.1
1828,2002-07-15,Moya C.,Melzer J.,18,103,1.111,6.0,Clay,1,1.111,6.0
1829,2002-07-15,Moya C.,Ferrer D.,18,114,1.167,4.5,Clay,1,1.167,4.5
1831,2002-07-22,Davydenko N.,Sargsian S.,93,83,1.667,2.1,Clay,1,1.667,2.1
1833,2002-07-22,Gaudenzi A.,Coutelot N.,110,103,1.667,2.1,Clay,1,1.667,2.1
1834,2002-07-22,Hipfl M.,Vicente F.,99,50,2.5,1.5,Clay,0,1.5,2.5
1835,2002-07-22,Kohlmann M.,Arthurs W.,112,69,2.375,1.533,Clay,0,1.533,2.375
1836,2002-07-22,Labadze I.,Melzer J.,90,89,2.1,1.667,Clay,0,1.667,2.1
1840,2002-07-22,Massu N.,Kucera K.,72,73,1.533,2.375,Clay,1,1.533,2.375
1841,2002-07-22,Meligeni F.,Simoni A.,63,136,1.4,2.75,Clay,1,1.4,2.75
1842,2002-07-22,Sa A.,Knowle J.,57,87,1.4,2.75,Clay,1,1.4,2.75
1845,2002-07-22,Voinea A.,Dupuis A.,65,104,1.333,3.0,Clay,1,1.333,3.0
1846,2002-07-22,Chela J.I.,Coria G.,25,76,1.615,2.2,Clay,1,1.615,2.2
1847,2002-07-22,Corretja A.,Schiessling T.,31,937,1.125,5.5,Clay,1,1.125,5.5
