,inverted_log_rank_p1,rank_diff_binned,log_odd_ratio,surface_Clay,surface_Hard,surface_Grass,h2h_binned,consecutive_wins_p1,consecutive_wins_p2,consecutive_losses_p1,consecutive_losses_p2,consecutive_results,rank_evol_p1_binned,rank_evol_p2_binned,rank_combined_binned,odd_p1,odd_p2
23582,0.20851619571212315,0,1.1514547700424898,0,1,0,0,0.5,1,1,0.0,1,0,0,0,1.72,2.0
27313,0.3789231816899512,2,1.9205280757838963,1,0,0,0,1.0,1,1,0.0,1,0,0,3,1.14,5.5
24716,0.7213475204444817,7,2.1378851375499104,1,0,0,1,0.5,1,1,0.0,0,0,0,7,1.08,7.0
17113,0.23537745555238682,4,1.1169614273363062,0,1,0,0,0.5,1,0,0.0,0,0,0,5,1.8,1.9
36195,0.3284587387530511,4,1.4914668891843443,0,1,0,0,0.5,1,1,1.0,1,0,0,3,1.33,3.25
37305,0.21443402172070247,4,1.1514547700424898,1,0,0,1,0.5,1,1,1.0,1,1,0,6,1.72,2.0
24953,0.2969742043733701,6,2.0022101937438457,1,0,0,0,0.5,1,1,0.5,1,1,1,6,1.11,6.0
37141,0.3396232718951086,3,1.169670209933831,1,0,0,1,0.5,0,1,0.0,0,0,0,3,1.72,2.1
16573,0.31066746727980593,7,1.6636776813710972,0,1,0,0,1.0,1,1,0.0,1,0,0,7,1.22,4.0
3611,0.9102392266268373,4,1.6094379124341003,0,0,1,0,0.5,1,0,0.0,0,0,1,1,1.25,3.75
23356,0.32351545314867247,9,1.4914668891843443,0,1,0,0,0.5,1,1,0.0,1,0,0,9,1.33,3.25
29788,0.2835784920513334,5,1.2138616364551833,1,0,0,0,0.5,1,1,0.0,0,0,0,5,1.61,2.2
7174,0.267546386419054,7,1.380884068391643,1,0,0,0,0.5,1,0,0.0,0,1,1,6,1.39,2.75
30972,0.2422988705246811,2,1.3401049786505161,0,1,0,0,0.5,1,1,1.0,1,0,0,3,1.44,2.62
35881,0.3459762562611936,10,1.7601930032602204,0,1,0,0,0.5,1,1,0.0,0,1,0,10,1.18,4.5
17411,0.267546386419054,6,1.1514547700424898,1,0,0,0,0.5,1,1,1.0,1,1,1,6,1.72,2.0
3876,0.2442393366759723,6,1.3773256911371303,0,1,0,0,0.5,1,0,0.0,0,0,0,5,1.4,2.75
12160,0.3396232718951086,9,1.7714394667370974,0,1,0,1,1.0,1,1,1.0,1,1,0,9,1.16,4.5
21485,0.21859304439100327,0,1.233469765560689,0,0,1,1,0.5,1,1,0.5,1,0,1,0,1.57,2.25
32589,0.2611892565642242,10,1.3773256911371303,0,0,1,0,0.5,1,1,0.0,0,0,0,10,1.4,2.75
462,0.22886186853915486,0,1.2126041772712242,0,1,0,0,1.0,1,1,0.0,1,0,0,0,1.615,2.2
8489,0.2452460618098304,13,2.1982624601486394,0,1,0,0,0.5,1,1,0.0,0,0,0,13,1.07,7.5
523,0.21859304439100327,2,1.2667362676141112,0,1,0,0,1.0,1,1,0.0,1,0,0,2,1.533,2.375
18370,0.5581106265512472,8,2.0022101937438457,0,1,0,0,0.5,1,1,0.0,1,0,0,8,1.11,6.0
23404,0.30692767643013485,6,1.2554890038046065,0,1,0,1,1.0,1,1,0.0,1,0,0,6,1.57,2.37
12256,0.2969742043733701,9,1.380884068391643,1,0,0,1,1.0,1,1,0.0,1,0,0,9,1.39,2.75
15575,0.2835784920513334,7,1.1514547700424898,1,0,0,0,0.5,1,0,0.0,0,1,1,7,1.72,2.0
20278,0.3459762562611936,9,1.5548497221496973,1,0,0,0,0.5,1,1,1.0,1,0,0,9,1.28,3.5
5427,0.265872585674852,2,1.1499634852588554,0,1,0,0,0.5,1,0,0.0,0,0,1,1,1.727,2.0
5875,0.2835784920513334,5,1.233204014336522,0,0,1,0,0.5,0,1,0.0,0,0,0,5,1.571,2.25
18035,0.36926937306885504,5,1.233469765560689,0,1,0,1,0.5,1,1,0.0,1,0,0,5,1.57,2.25
738,0.28599966750267436,1,1.1185964535884605,0,1,0,1,0.5,0,1,0.0,0,0,0,1,1.8,1.909
22827,0.40242960438184466,6,1.8541025998021905,0,1,0,1,1.0,1,1,0.0,1,0,0,6,1.14,5.0
5511,0.16864574860380777,0,1.2138616364551833,1,0,0,0,0.5,1,0,0.0,0,0,0,0,1.61,2.2
2318,0.23233849357411737,9,1.5686159179138452,0,0,1,0,0.5,1,1,0.0,0,1,0,10,1.25,3.5
353,0.267546386419054,8,1.339691899136912,0,1,0,0,0.5,1,1,1.0,1,0,0,8,1.444,2.625
4984,0.31465798044412485,13,2.254011274187907,0,0,1,1,0.5,1,1,0.0,1,0,0,13,1.063,8.0
34983,0.2518706487516997,10,1.7601930032602204,1,0,0,0,0.5,1,1,1.0,1,1,0,11,1.18,4.5
25623,0.32351545314867247,2,1.3773256911371303,0,1,0,0,0.5,1,1,0.0,1,0,0,2,1.4,2.75
34012,0.43429448190325176,2,1.3208665557974355,0,1,0,1,1.0,1,1,0.0,1,0,0,2,1.5,2.62
34431,0.36067376022224085,2,1.5165308578475607,0,1,0,0,1.0,1,1,0.0,1,0,0,2,1.33,3.4
37971,0.1738352668944562,0,1.233469765560689,1,0,0,0,0.5,1,1,0.0,1,0,0,0,1.57,2.25
14786,0.2227848098240302,12,1.3773256911371303,1,0,0,0,0.5,1,0,0.0,0,0,1,10,1.4,2.75
996,0.25694917118487537,4,1.1816499072354991,0,1,0,0,0.5,1,0,0.0,0,1,1,6,1.667,2.1
27440,0.3789231816899512,5,1.4364841056437456,1,0,0,1,0.5,1,1,0.0,1,0,0,5,1.36,3.0
